Rèf 10max;Libelle Univers;Monde;Libelle;Descriptif
010402;Films;Harry Potter;Harry;"Harry et son mystérieux cadeau
Harry Potter est le personnage principal de la saga cinématographique Harry Potter inspirée de la cultissime saga littéraire pour enfant Harry Potter. C’est un jeune garçon anglais qui découvre le jour de ses onze ans qu’il est un sorcier. A partir de là, il va découvrir les merveilles du monde des sorciers mais aussi ses dangers et surtout les sombres circonstances qui l’ont rendu orphelin à l’âge de un an. En troisième année, Sirius Black, son parrain et celui qui aurait à priori trahi ses parents, s’échappe de la prison d’Azkaban. Alors que tout le monde pense qu’il va tenter de retrouver Harry pour le tuer, on se rend finalement compte que Sirius veut retrouver le véritable coupable ayant trahi les parents d’Harry, qui n’est d’autre que Peter Pettigrew se cachant depuis des années sous les traits de Scabbers, le rat de Ron. A la fin du film alors que Sirius est parvenu à s’échapper sur le dos de l'hyppogriffe Buckbeak, il envoie à Harry un cadeau très spécial, le tout nouveau modèle de balai Firebolt.

Harry va pouvoir s'envoler
Pour cette figurine exclusive pour les magasins Box Lunch, Funko a choisi de représenter Harry avec sa tenue classique d’étudiant de Poudlard mais aussi avec son balai Firebolt. Cela fait donc référence à une scène bien spécifique de la fin du film quand Harry reçoit son fameux cadeau. Il porte donc un uniforme constitué d’un pantalon, de chaussures et d’un gilet noirs bordés de bandes aux couleurs de la maison Gryffondor et avec cela il porte son habituelle cape de sorcier. Au niveau du visage, on reconnait bien ses fameuses lunettes et sa cicatrice en forme d’éclair. Enfin, il tient dans ses mains son fameux balai Firebolt auquel est attaché trois plumes d’hyppogriffe comme un message que ce balai est un cadeau de Sirius."
010403;Films;Harry Potter;Lupin;"Un gentil loup garou
Remus Lupin est un personnage de la saga littéraire et cinématographique Harry Potter, l’histoire de ce fameux petit orphelin anglais apprenant qu’il est sorcier le jour de ses onze ans. Remus Lupin apparait pour la première fois dans le troisième opus en tant que nouveau professeur de défense contre les forces du mal. Très vite, Harry apprend qu’il était aussi un des meilleurs amis de ses parents ainsi que de Sirius Black, l’ami de ses parents les ayant à priori trahi et dénoncé à Voldemort. Plus tard dans le film, Harry apprendra qu’il est en fait un loup-garou et que Sirius Black ne s’est pas échappé de prison pour le tuer mais rétablir la vérité et le fait que c’est en fait leur ami Peter Pettigrew qui les trahis. Lupin sera de retour dans le cinquième film. Voldemort étant officiellement de retour, les membres de l’ordre du Phoenix se reforment pour le combattre et Lupin en fait partie. On le retrouvera à nouveau dans le sixième film de manière plus anecdotique, notamment lorsqu’on apprend que Tonks et lui sont maintenant en couple. Enfin, il sera de retour avec le reste de l’ordre lors de la bataille finale de Poudlard durant laquelle lui et Tonks périront et laisseront la garde de leur fils à Harry.

Une créature pas très gracieuse
Cette figurine en exclusivité pour Hot Topic représente donc Lupin sous sa forme de loup-garou. Dans le monde d’Harry Potter, les loup-garous ne sont pas des créatures très gracieuses et c’est très bien représenté ici. Son corps gris clair sans quasiment la moindre fourrure est vaguement humanoïde avec de longs bras touchant presque le sol et se terminant par des griffes et des jambes moitié humaines, moitié canines. Au niveau de la tête, il a presque l’allure complète d’un loup avec un museau allongé, une truffe noire, d’impressionnants crocs et des oreilles pointues. Seuls ses yeux d’un jaune surnaturel rappelle le fait que ce n’est pas la tête d’un loup ordinaire."
010501;Films;Le Seigneur Des Anneaux;Azog;"Azog le profanateur
Azog est un personnage de la trilogie cinématographique ""Le Hobbit"" de Peter Jackson. Alors qu'Azog n'est que mentionné dans le roman de J.R.R. Tolkien dont les films sont inspirés, il a ici un rôle nettement plus important et son histoire est un peu différente. Dans cette histoire, une compagnie de nains menée par Thorin-Ecu-de-Chêne, se lance dans un voyage vers la montagne solitaire. Ils ont pour objectif de reconquérir Erebor, le royaume sous la montagne, qui leur a été volé, de nombreuses années auparavant, par le terrible dragon Smaug. Ils sont pour cela aidés par Gandalf le magicien et le hobbit Bilbo, engagé en tant que cambrioleur. Azog est un orc que Thorin pensait avoir tué pendant la bataille pour le royaume de la Moria. En effet, alors qu'Azog venait de tuer Thror, son grand-père, Thorin prit les armes et coupa le bras d'Azog, le laissant pour mort. Mais, plusieurs années plus tard, lorsque Thorin se lance dans sa quête pour reconquérir Erebor, Azog est envoyé par Sauron pour le suivre et le tuer. Et il compte bien prendre sa revanche !

L'orc au crochet
Azog est souvent surnommé ""The Pale Orc"" à cause de sa peau blanche et Funko n'a bien sûr pas oublié de représenter ça, ainsi que les cicatrices qui recouvrent sur sa peau et lui donnent un aspect encore plus malsain. Comme la plupart des orcs, sa tenue est très minimaliste : un simple pagne de cuir et des bottes. Mais Funko a tout de même finement reproduit les détails de sa ceinture et des sangles qui entourent une partie de son torse. Comme dans le film, sa main coupée a été remplacée par une sorte de crochet, et sur l'autre bras il porte une épaisse armure de cuir hérissée de pointes métalliques. Son visage a la forme classique des figurines pop mais Funko a aussi rajouté des oreilles pointues et du volume au niveau des arcades sourcilières pour lui donner un air plus féroce. Ses yeux sont noirs et, là encore, on retrouve de nombreuses cicatrices. Pour une fois, Funko a décidé de lui donner une bouche afin qu'il puisse montrer son impressionnante dentition en pointes !"
010502;Films;Le Seigneur Des Anneaux;Gollum;"Le premier porteur de l'anneau
Gollum est un personnage de la trilogie cinématographique de Peter Jackson ""Le Hobbit"" et du roman ""Bilbo Le Hobbit"" de J.R.R. Tolkien dont le film est l'adaptation. Dans ""Le Hobbit"", Gollum n'a que très peu de temps à l'écran et uniquement pendant le premier volet. Mais la scène qu'il partage avec Bilbo aura une importance capitale dans la suite de ""The Hobbit"", la trilogie ""Le Seigneur Des Anneaux"". Gollum est une créature plutôt repoussante, à la peau grise, à la tête disproportionnée se déplaçant de manière presque animale. Le hobbit Bilbo le croise une première fois lorsqu'il se trouve bloqué au fond d'une caverne après s'être battu avec l'un des gobelins qu'il l'occupe. Gollum vient récupérer le corps du gobelin pour le manger mais perd sans s'en rendre compte son mystérieux anneau d'or. Plus tard, Bilbo le croise à nouveau lorsqu'il essaie de trouver la sortie. Si Bilbo gagne le match d'énigmes, Gollum lui montrera la sortie, s'il perd Gollum le tuera ! Mais c'est seulement après avoir perdu le match que Gollum se rend compte que Bilbo a trouvé son anneau. Si Gollum reste assez mystérieux dans ""Le Hobbit"", dans ""Le Seigneur Des Anneaux"" on apprend que ce fameux anneau n'était rien de moins que l'anneau créé par Sauron pour prendre le contrôle de la Terre Du Milieu et que Gollum, à l'époque Smeagol, était un hobbit quand il a trouvé ce fameux anneau. Son pouvoir maléfique l'a poussé à tuer l'un de ses amis pour s'en emparer. Il s'est isolé des siens et s'est transformé physiquement au point de devenir la créature Gollum.

Un hobbit méconnaissable
Bien qu'il ait été un hobbit, l'anneau l'a tellement transformé au cours des années qu'il est difficile de voir une quelconque ressemblance entre Gollum et un hobbit comme Bilbo, si ce n'est peut-être ses grands pieds. Sur la figurine de Funko, on retrouve donc bien cette peau gris/rose assez malsaine et ce corps maigre qui n'a quasiment plus que la peau sur les os. Vivant à l'état sauvage depuis de très longues années (l'anneau ayant prolongé sa vie de manière anormale), il n'a plus de vrais vêtements, mais un simple pagne de haillons, vestige de ses vêtements de hobbit. Enfin l'élément le plus caractéristique de ce personnage, c'est son visage. Avec ses gros yeux cernés de gris, il se prête particulièrement bien au style des figurines pop! et de leurs yeux noirs. Funko a pour une fois décidé de lui donner une grande bouche afin de bien montrer ses vilaines dents peu nombreuses mais souvent taillés en pointe. Enfin, les créateurs de la figurine ont bien représenté les quelques cheveux qu'il lui reste sur la tête !"
010503;Films;Le Seigneur Des Anneaux;Smaug;"Le fléau d'Erebor
Smaug est un personnage du roman ""Bilbo Le Hobbit"" de J.R.R. Tolkien et de la trilogie cinématographique de Peter Jackson qui en est l'adaptation. Bien qu'il soit au centre de l'histoire, Smaug n'a finalement qu'assez peu de temps à l'écran, à la fin du deuxième volet et au début du troisième. Smaug est un dragon qui fût attiré par le royaume nain d'Erebor sous la montagne solitaire. En effet, Thror, roi d'Erebor, était devenu maladivement obsessionnel et ne pensait plus qu'à amasser toujours plus de trésors. Attiré par l'odeur de tout cet or, Smaug attaqua le royaume et la ville voisine de Dale et prit possession du royaume et de son trésor. Au début de l'histoire du Hobbit, Thorin, héritier de Thror, met en place une équipe composée de 13 nains, Gandalf le magicien et le hobbit Bilbo pour aller reprendre possession de son héritage. Smaug est particulièrement immense et puissant mais comme tous les dragons, il est aussi avide et très imbus de lui-même.

Un dragon furieux
Le dragon créé par Peter Jackson dans les films est très fidèle à celui décrit dans le roman de Tolkien. Funko a, de son côté, bien travaillé pour en faire une version pop! très proche de celui du film. Comme dans le film, Smaug est donc de couleur rouge foncé avec un poitrail un peu plus clair. Pour coller aux proportions habituelles des figurines pop, le dragon est au format super sized (15 cm), représenté assis, ses ailes de type chauve-souris repliées dans son dos. La texture écailleuse de son corps est finement représentée mais la partie la plus réussie et détaillée de ce personnage est probablement sa tête. Funko a joliment arrangé les différentes pointes et cornes qui ajoutent au côté féroce et reptilien du personnage. Ils lui ont cette fois donné une bouche qui découvre deux belles rangées de dents en pointe ainsi qu'un vrai museau au lieu de l'habituel petit nez triangulaire. Comme la plupart des figurines pop, ses yeux sont noirs mais cette fois pas tout à fait ronds pour lui donner cette expression fâchée. Smaug existe aussi dans une version exclusive avec des yeux jaunes et une autre encore plus rare avec le corps entièrement doré, faisant référence à l'une des scènes du film."
010601;Films;Star Wars;Andor;"Un officier de l'alliance rebelle
Cassian Andor est un personnage de Rogue One, le premier film de la nouvelle saga Star Wars se déroulant peu de temps avant le début de la trilogie originale. Cassian Andor est un officier de renseignement travaillant pour l'alliance rebelle. C'est notamment lui qui va reprogrammer K-2SO, un robot de l'empire, afin qu'il devienne fidèle à l'alliance rebelle. Il sera aussi en charge de surveiller Jyn Erso lors de sa mission au sein de l'empire, en raison de sa nature un peu imprévisible.

Cassian habillé pour le froid
Sur cette figurine, on peut voir le capitaine Cassian Andor habillé pour le froid comme sur certaines photos promo. On retrouve donc son pantalon beige matelassé avec ses bottes marron foncé ainsi que les gants et la ceinture assortis. En plus de ça, il porte sa parka bleu/gris bordée de fourrure et dont les détails sont particulièrement bien rendus. Dans sa main droite, il tient son arme dont les détails sont aussi très bien rendus. Au niveau de la tête, on retrouve bien son léger bouc caractéristique ainsi que ses cheveux châtains en bataille."
010602;Films;Star Wars;C2B5;"Un robot à l'allure familière
C2-B5 est un nouveau modèle de robot dans Rogue One, le premier film de la nouvelle saga Star Wars se déroulant entre la deuxième et la première trilogie mais bien plus proche de la première. Bien que ressemblant fortement au fameux petit robot R2-D2, C2-B5 est un robot servant l'empire galactique, d'où sa couleur noire probablement. On ne connait pas son rôle précis dans l'histoire mais on sait que dans ce film l'alliance rebelle tentera de s'infiltrer au sein de l'empire afin de voler les plans de l'étoile noire en construction à cette époque.

Un robot à la drôle d'allure
Ce petit robot n'est bien sûr pas sans rappeler le fameux R2-D2 dont il est clairement une version ""méchante"" et noire servant l'empire galactique. On retrouve bien ce corps cylindrique avec tous ces petits boutons à la mode science-fiction rétro ainsi que les deux ""jambes"" qui lui permettent de se déplacer. Contrairement à toutes les figurines funko classiques il n'a qu'un seul gros oeil noir pour respecter l'aspect du personnage."
010603;Films;Star Wars;Trooper;"Les gardes du corps d'Orson Krennic
Les Imperial Death Trooper sont un corps d'élite de l'armée de l'empire dans le premier film de la nouvelle saga Star Wars: Rogue One. Ces Death Troopers se démarquent des autres par leur armure entièrement noire et leur armement encore plus perfectionné. Ils servent de garde du corps et d'armée personnelle au directeur Orson Krennic, le chef de la division de recherche en armement avancé de l'empire galactique et le constructeur de la première étoile de la mort.

Des stormtroopers à l'allure de Darth Vader
Comme on peut le voir dans le film, ces nouveaux stormtroopers ont une armure noire contrairement à la grande majorité des stormtroopers qui étaient juste là toujours habillés de blanc. Comme toujours, on retrouve de très nombreux détails au niveau de l'armure ainsi que dans l'arme particulièrement sophistiquée qu'il tient dans ses mains. Au niveau du casque, on retrouve la forme habituelle des casques de stormtroopers si ce n'est pour la vitre verte au niveau des yeux."
010701;Jeux Videos;Assassin’s Creed;Blackflag;"L'assassin pirate
Edward Kenway est le personnage principal du jeu vidéo Assassin's Creed Iv Black Flag. C'est le grand-père de Connor, le personnage central d'Assassin's Creed III. Au début du jeu, Edward échoue sur une île, seul rescapé du naufrage de son navire après une bataille navale. Il devra d'abord combattre les Templiers puis décidera de rejoindre un groupe de pirates qui aspirent à créer un monde libre affranchi des lois.

Un assassin typique
Edward est probablement celui qui est le plus proche physiquement du premier assassin de la série : Altair. On retrouve bien cette tunique blanche avec une grande capuche ainsi qu'un pantalon de cuir marron. Comme dans le jeu, il porte une grande épée recourbée mais aussi un pistolet. On regrette juste que Funko n'ait pas représenté le détail de ses accroches de sac en tête de mort."
010702;Jeux Videos;Assassin’s Creed;Elise;"Condamnée à la Guillotine
Elise est un personnage du jeu vidéo Assassin's Creed Unity se déroulant à Paris durant la révolution française. Elise est une héritière des Templiers condamnée à la guillotine par la milice militaire de la Terreur. au début du jeu, elle va être sauvée par Arno Dorian, le héros assassin de ce jeu. Ils se battront ensuite ensemble contre l'ennemi.

Un personnage secondaire important
Si Elise ne fait pas partie de la confrérie des assassins, cela ne l'empêche pas de pouvoir se battre. Pour cette raison, sa tenue est plus celle d'un homme de l'époque que d'une femme. On retrouve donc bien cette tunique bleue ainsi que son pantalon porté avec de hautes bottes. Au niveau de la tête, on retrouve bien ses jolis cheveux roux bouclés. Enfin, elle porte son épée de la main droite et son pistolet de la main gauche."
010703;Jeux Videos;Assassin’s Creed;Plague;"Les médecins de la peste
Les médecins de la peste sont des personnages que l'on peut apercevoir dans le jeu vidéo Assassin's Creed Brotherhood. Il est la suite du jeu vidéo Assassin's Creed II et se déroule dans l'Italie du début de la Renaissance. A cette époque la peste ravagea l'Europe à plusieurs reprises, les médecins italiens prirent donc l'habitude de porter des masques avec un long bec d'oiseau censé les protéger de la contamination.

Des personnages de carnaval
A Venise, certaines personnes portaient aussi ce masque en tant que déguisement du carnaval, ce qui explique pourquoi ce docteur est habillé aussi élégamment. On retrouve donc cette longue tunique verte aux détails bleus mais on retrouve surtout ce masque caractéristique au niveau du visage ainsi que ces étranges lunettes. En tant que docteur, il tient aussi dans sa main une seringue."
010801;Jeux Videos;Tekken;Heihachi;"Un père plus que sévère
Heihachi est un personnage important de la série Tekken, l'un des jeux de combats les plus connus de la firme Namco. heihachi est un chef de la finance japonaise fou amoureux de sa femme. Mais quand celle-ci meurt en accouchant de leur fils, il blâme l'enfant. Il entraine l'enfant au combat très durement jusqu'au jour où Kazuya est gravement blessé et sur le point de mourir. Un démon lui propose alors son âme en échange de sa vie. Il accepte et grâce à la force du démon en lui, il devient un combattant hors pair et parvient à se venger de son père.

Un méchant vieux monsieur
Heihachi n'est pas vraiment le prototype du gentil vieux monsieur. Il est représenté ici avec son kimono noir et sa ceinture rouge en position de combat. Au niveau de la tête, On retrouve bien ses sourcils blancs pointant vers le haut ainsi que sa moustache lui donnant l'air de faire la tête, et bien sûr sont aussi représentés ses cheveux à la forme si particulière."
010802;Jeux Videos;Tekken;Kazama;"Le successeur
Jin Kazama est un des personnages jouables à partir du troisième épisode de la célèbre série de jeux vidéos Tekken. Il est le fils du personnage principal de la série Kazuya. Lorsqu'il a quinze ans, sa mère est violemment tuée par l'Ogre. Il va alors partir à la recherche de son grand-père et lui demander de l'entrainer avec la même dureté que son père afin qu'il puisse entrer dans le tournoi et avec la force de vaincre l'Ogre. Comme son père Jin a certaines capacités démoniaques qui le rendent notamment plus fort et plus résistant.

Le portrait de son père
Jin ressemble beaucoup à son père que ce soit physiquement ou d'un point de vue de la la tenue. Comme lui, il porte qu'un bas de kimono, noir contrairement à celui de son père qui est blanc, et des gants de protection rouges à pointes. Au niveau de la tête, il a ces mêmes étranges sourcils en pointe qui semblent être une caractéristique familiale et il porte ses cheveux noir tirés en arrière à part quelques mèches qui retombent sur son front."
